债务人名称|所在地区|担保方式|资产类型|债权总额（元）|结束时间
湛江市**有限公司|广东省湛江市霞山区|保证担保及抵质押担保|其他|160412133.33|2021-12-31
珠海市**有限公司、珠海市**有限公司|广东省珠海市香洲区|保证担保及抵质押担保|商铺、商场|409213933.33|2021-12-31
云南中天文化产业发展股份有限公司|云南省昆明市西山区|保证担保及抵质押担保|非上市公司股权,商铺、商场|1143340845.91|2024-08-23
昆明呈钢工贸有限责任公司|云南省昆明市西山区|保证担保及抵质押担保|商业用房在建工程|129648062.65|2024-08-23
昆明晨农绿色产品有限公司|云南省昆明市呈贡区|保证担保及抵质押担保|商铺、商场|110431064.33|2024-08-23
府谷县恒源煤焦电化有限公司|陕西省榆林市府谷县|保证担保及抵质押担保|电子和电工机械专用设备|214836291.67|2021-12-31
南昌松锋房地产开发有限公司|江西省鹰潭市贵溪市|保证担保及抵质押担保|居住用房在建工程|64019522.39|2022-09-02
北京中油三环科技发展有限公司|北京市海淀区|保证担保||355783333.3|2021-12-31
武汉市绿能天然气运输集团有限公司 |湖北省武汉市|保证担保||293363466.7|2021-12-31
贵州省三都水族自治县国有资本营运有限责任公司|贵州省黔南布依族苗族自治州三都水族自治县|保证担保||267288000.0|2022-09-01
独山县通达投资有限公司|贵州省黔南布依族苗族自治州独山县|保证担保及抵质押担保|商业用地|330315488.89|2022-09-01
昌乐圣泽木业有限公司|山东省潍坊市昌乐县|保证担保及抵质押担保|其他设备|10171749.51|2022-08-31
湖北德立房地产开发有限公司|湖北省鄂州市鄂城区|保证担保及抵质押担保|商业用房在建工程|781043212.5|2024-09-01
鄂州市天华物宝矿业有限责任公司|湖北省鄂州市鄂城区|保证担保及抵质押担保|采矿权,高层办公楼,矿山、冶金、建筑专用设备,商业用房在建工程|244300312.5|2024-09-01
湖北富丽园集团有限公司|湖北省武汉市江夏区|保证担保及抵质押担保|储藏室、车位、车库等其他居住用房,商业用房在建工程|146460000.0|2024-09-01
武汉市江夏亚太房地产开发有限公司|湖北省武汉市江夏区|保证担保及抵质押担保|宾馆酒店,居住用房在建工程,商业用房在建工程|158895600.0|2024-09-01
武汉市江夏亚太房地产开发有限公司； 武汉市富丽园园林绿化有限责任公司|湖北省武汉市江夏区|保证担保及抵质押担保|居住用房在建工程,普通商品用房,商铺、商场,商业用房在建工程|115876400.0|2024-09-01
山西盛农投资有限公司 |山西省晋中市榆次区|保证担保及抵质押担保|上市公司流通A股股票（权）|743628700.0|2022-12-31
